grand_prix,team,pace_index,reliability
Australia,Alpine,0.5714285714285714,0.5625
Australia,Aston Martin,0.9047619047619048,0.625
Australia,Ferrari,1.1428571428571428,0.875
Australia,Haas,0.7142857142857143,0.75
Australia,Kick Sauber,0.9047619047619048,0.625
Australia,McLaren,1.5238095238095237,0.9375
Australia,Mercedes,1.6666666666666667,0.8125
Australia,Racing Bulls,0.47619047619047616,0.6875
Australia,Red Bull,1.1904761904761905,0.84375
Australia,Williams,0.9047619047619048,0.78125
Austria,Alpine,0.6666666666666666,0.5625
Austria,Aston Martin,1.0,0.625
Austria,Ferrari,1.6666666666666667,0.875
Austria,Haas,1.0,0.75
Austria,Kick Sauber,1.1904761904761905,0.625
Austria,McLaren,1.8571428571428572,0.9375
Austria,Mercedes,0.8571428571428571,0.8125
Austria,Racing Bulls,1.1428571428571428,0.6875
Austria,Red Bull,0.38095238095238093,0.84375
Austria,Williams,0.23809523809523808,0.78125
Bahrain,Alpine,1.0,0.5625
Bahrain,Aston Martin,0.47619047619047616,0.625
Bahrain,Ferrari,1.5714285714285714,0.875
Bahrain,Haas,1.1428571428571428,0.75
Bahrain,Kick Sauber,0.19047619047619047,0.625
Bahrain,McLaren,1.8095238095238095,0.9375
Bahrain,Mercedes,1.380952380952381,0.8125
Bahrain,Racing Bulls,0.6190476190476191,0.6875
Bahrain,Red Bull,1.2857142857142858,0.84375
Bahrain,Williams,0.5238095238095238,0.78125
Belgium,Alpine,0.6190476190476191,0.5625
Belgium,Aston Martin,0.5238095238095238,0.625
Belgium,Ferrari,1.5238095238095237,0.875
Belgium,Haas,0.7619047619047619,0.75
Belgium,Kick Sauber,1.0,0.625
Belgium,McLaren,1.8571428571428572,0.9375
Belgium,Mercedes,1.0,0.8125
Belgium,Racing Bulls,0.6666666666666666,0.6875
Belgium,Red Bull,1.1904761904761905,0.84375
Belgium,Williams,0.8571428571428571,0.78125
Canada,Alpine,0.6666666666666666,0.5625
Canada,Aston Martin,0.8571428571428571,0.625
Canada,Ferrari,1.4761904761904763,0.875
Canada,Haas,1.0476190476190477,0.75
Canada,Kick Sauber,0.9523809523809523,0.625
Canada,McLaren,0.9523809523809523,0.9375
Canada,Mercedes,1.8095238095238095,0.8125
Canada,Racing Bulls,0.3333333333333333,0.6875
Canada,Red Bull,1.3333333333333333,0.84375
Canada,Williams,0.5714285714285714,0.78125
China,Alpine,0.42857142857142855,0.5625
